2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:26,181 - INFO - Initial process node created - PID: 6812, Name: firefox.exe, Memory: 0.7%, CPU: 0.0%
2025-05-30 16:40:26,293 - INFO - Initial process node created - PID: 18076, Name: firefox.exe, Memory: 1.9%, CPU: 0.0%
2025-05-30 16:40:26,406 - INFO - Initial process node created - PID: 5280, Name: firefox.exe, Memory: 0.5%, CPU: 0.0%
2025-05-30 16:40:26,553 - INFO - Initial process node created - PID: 3240, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:26,694 - INFO - Initial process node created - PID: 7336, Name: Dell.TechHub.Instrumentation.SubAgent.exe, Memory: 1.1%, CPU: 0.0%
2025-05-30 16:40:26,840 - INFO - Initial process node created - PID: 5808, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:26,986 - INFO - Initial process node created - PID: 9904, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:27,105 - INFO - Initial process node created - PID: 11440, Name: CompPkgSrv.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:27,224 - INFO - Initial process node created - PID: 13488, Name: ApplicationFrameHost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:27,380 - INFO - Initial process node created - PID: 692, Name: fontdrvhost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:27,536 - INFO - Initial process node created - PID: 2228, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:27,703 - INFO - Initial process node created - PID: 7348, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:27,841 - INFO - Initial process node created - PID: 12468, Name: firefox.exe, Memory: 1.5%, CPU: 0.0%
2025-05-30 16:40:27,967 - INFO - Initial process node created - PID: 3256, Name: Cursor.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:28,134 - INFO - Initial process node created - PID: 8376, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:28,253 - INFO - Initial process node created - PID: 6332, Name: firefox.exe, Memory: 0.5%, CPU: 0.0%
2025-05-30 16:40:28,421 - INFO - Initial process node created - PID: 1732, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:28,575 - INFO - Initial process node created - PID: 4804, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:28,734 - INFO - Initial process node created - PID: 7364, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:28,886 - INFO - Initial process node created - PID: 7876, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:29,042 - INFO - Initial process node created - PID: 3272, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:29,170 - INFO - Initial process node created - PID: 14532, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:29,298 - INFO - Initial process node created - PID: 15560, Name: AdobeCollabSync.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:29,459 - INFO - Initial process node created - PID: 3788, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:29,615 - INFO - Initial process node created - PID: 4300, Name: AuActMon.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:29,745 - INFO - Initial process node created - PID: 7164, Name: Cursor.exe, Memory: 4.2%, CPU: 0.0%
